"X" "Y"
"619" 752746 4430283
"620" 752323 4429761
"621" 752947 4430350
"622" 753160 4431564
"623" 753074 4431349
"624" 752506 4429962
"625" 753114 4430204
"626" 753011 4430503
"627" 752895 4431351
"628" 752962 4431547
"629" 752902 4431655
"630" 752003 4429527
"631" 753123 4431168
"632" 753793 4431500
"633" 753138 4430281
"634" 753137 4430105
"635" 752983 4430803
"636" 753566 4430556
"637" 753263 4429984
"638" 753181 4430086
"639" 753674 4429985
"640" 753489 4429647
"641" 753489 4429647
"642" 752516 4429647
"643" 753270 4431731
"644" 752645 4430811
"645" 752655 4430828
"646" 752283 4431280
"647" 752295 4429747
"648" 753721 4430028
"649" 752356 4429905
"650" 752424 4430248
"651" 752017 4430888
"652" 752032 4429076
"653" 752102 4430074
"654" 753597 4430920
"655" 753057 4430510
"656" 753694 4431371
"657" 752709 4430765
"658" 753152 4429534
"659" 753270 4430170
"660" 753074 4431301
"661" 752546 4430422
"662" 752212 4429567
"663" 753270 4430170
"664" 752238 4430583
"665" 752861 4429775
"666" 753852 4430119
"667" 751284 4430830
"668" 753318 4430405
"669" 753377 4430037
"670" 754022 4431178
"671" 752657 4429649
"672" 753730 4430425
"673" 752704 4429996
"674" 754022 4431178
"675" 752033 4430070
"676" 753194 4430372
"677" 753744 4430111
"678" 752826 4431017
"679" 753298 4431334
"680" 752844 4432057
"681" 752904 4430105
"682" 753107 4430117
"683" 753697 4430446
"684" 753086 4430665
"685" 753315 4430029
"686" 753419 4430628
"687" 753257 4430463
"688" 752845 4430425
"689" 753154 4430032
"690" 753117 4430905
"691" 752337 4429654
"692" 752021 4430720
"693" 752961 4429959
"694" 750426 4430134
"695" 752623 4431688
"696" 752181 4431654
"697" 752884 4430543
"698" 751822 4430628
"699" 752707 4429758
"700" 752252 4429645
"701" 752308 4430165
"702" 752308 4430165
"703" 751965 4430424
"704" 752025 4429874
"705" 752718 4430901
"706" 753409 4431361
"707" 752778 4430765
"708" 753157 4429573
"709" 753156 4429628
"710" 753503 4431412
"711" 751992 4429812
"712" 751683 4429734
"713" 751683 4429734
"714" 752849 4432049
"715" 752682 4431066
"716" 753352 4431107
"717" 752054 4430737
"718" 751592 4430591
"719" 752233 4430082
"720" 752204 4430663
"721" 753397 4430089
"722" 752275 4430248
"723" 752441 4430499
"724" 752956 4430221
"725" 753343 4430312
"726" 752595 4430765
"727" 752962 4431547
"728" 752168 4430205
"729" 752848 4430689
"730" 754008 4431214
"731" 752848 4430689
"732" 751881 4430616
"733" 752294 4429610
"734" 752836 4430257
"735" 752471 4430169
"736" 752089 4429957
"737" 750934 4431321
"738" 752834 4430252
"739" 753742 4430058
"740" 752836 4430280
"741" 753571 4430018
"742" 752717 4429996
"743" 753571 4430018
"744" 753571 4430018
"745" 751855 4430467
"746" 752252 4429645
"747" 752793 4432133
"748" 752312 4430187
"749" 752312 4430187
"750" 752252 4429645
"751" 752852 4430208
"752" 752015 4429334
"753" 753076 4430504
"754" 752472 4432498
"755" 753315 4430598
"756" 752550 4430860
"757" 754014 4430172
"758" 752623 4431688
"759" 754014 4430172
"760" 753066 4430887
"761" 752300 4430657
"762" 753107 4430383
"763" 752822 4431093
"764" 753526 4431331
"765" 752997 4430954
"766" 752997 4430954
"767" 752553 4430429
"768" 752565 4430352
"769" 752579 4430617
"770" 753520 4430669
"771" 752790 4430124
"772" 751846 4430244
"773" 753674 4431583
"774" 752701 4429600
"775" 753265 4431504
"776" 752002 4431082
"777" 753452 4430063
"778" 752577 4430843
"779" 753451 4430132
"780" 752653 4430627
"781" 752703 4430749
"782" 752367 4429650
"783" 752822 4431093
"784" 752822 4431093
"785" 753340 4431203
"786" 752952 4429954
"787" 752952 4429954
"788" 753357 4430871
"789" 753645 4429897
"790" 753332 4431106
"791" 752375 4431254
"792" 752402 4432333
"793" 753613 4430877
"794" 752217 4429796
"795" 752765 4430606
"796" 752998 4430219
"797" 752937 4429758
"798" 754028 4431212
"799" 752937 4429758
"800" 752937 4429758
"801" 753253 4430054
"802" 753760 4430198
"803" 752312 4431222
"804" 752384 4430473
"805" 752000 4430129
"806" 753222 4431383
"807" 752552 4429997
"808" 752165 4430899
"809" 753906 4430591
"810" 752822 4431093
"811" 753201 4429847
"812" 752943 4430042
"813" 752210 4429965
"814" 753320 4430448
"815" 753404 4430928
"816" 753084 4430286
"817" 753282 4430416
"818" 753615 4431253
"819" 752407 4430227
"820" 752509 4430015
"821" 752585 4430527
"822" 752903 4431971
"823" 753168 4431451
"824" 753721 4430131
"825" 753089 4430946
"826" 752014 4430178
"827" 752928 4431423
"828" 753900 4430566
"829" 753004 4431122
"830" 752089 4429957
"831" 752112 4429517
"832" 752189 4429862
"833" 752008 4429710
"834" 752822 4431093
"835" 752535 4430683
"836" 752547 4431135
"837" 752646 4429820
"838" 752165 4430899
"839" 753242 4431554
"840" 751922 4430953
"841" 752358 4429675
"842" 750892 4431042
"843" 753223 4430067
"844" 752609 4430527
"845" 752646 4430908
"846" 753084 4430722
"847" 751879 4430929
"848" 751922 4430953
"849" 752371 4431008
"850" 753009 4430761
"851" 752955 4431634
"852" 753009 4430761
"853" 753004 4429909
"854" 753083 4429570
"855" 753402 4431545
