"xcoord" "ycoord"
"842" 751925 4429275
"843" 751916 4430647
"844" 751925 4429595
"845" 751916 4430426
"846" 751916 4430426
"847" 751920 4429265
"848" 751923 4430661
"849" 751920 4429726
"850" 751935 4430303
"851" 751935 4430303
"852" 751935 4430303
"853" 751925 4429471
"854" 751921 4429413
"855" 751914 4430270
"856" 751926 4429836
"857" 751926 4429836
"858" 751926 4429836
"859" 751931 4430898
"860" 751931 4430898
"861" 751929 4430339
"862" 751924 4429339
"863" 751924 4429339
"864" 751924 4429339
"865" 751926 4429276
"866" 751926 4429276
"867" 751938 4429176
"868" 751938 4429176
"869" 751938 4429176
"870" 751931 4430190
"871" 751937 4429622
"872" 751937 4429622
"873" 751939 4430478
"874" 751939 4430478
"875" 751939 4430478
"876" 751934 4430659
"877" 751942 4429309
"878" 751942 4429309
"879" 751942 4429309
"880" 751942 4429309
"881" 751942 4429309
"882" 751942 4429309
"883" 751936 4429651
"884" 751936 4429651
"885" 751933 4430797
"886" 751942 4430696
"887" 751944 4429039
"888" 751944 4430497
"889" 751938 4430562
"890" 751938 4430562
"891" 751944 4430895
"892" 751944 4430895
"893" 751944 4430895
"894" 751947 4429476
"895" 751947 4429476
"896" 751947 4429476
"897" 751947 4429476
"898" 751933 4429171
"899" 751937 4429334
"900" 751937 4429334
"901" 751931 4430936
"902" 751942 4429464
"903" 751943 4430463
"904" 751931 4430936
"905" 751931 4430936
"906" 751942 4429464
"907" 751939 4430692
"908" 751939 4430692
"909" 751939 4430692
"910" 751939 4430692
"911" 751934 4429018
"912" 751946 4429611
"913" 751946 4429611
"914" 751946 4429611
"915" 751945 4430658
"916" 751946 4430793
"917" 751948 4429646
"918" 751948 4429646
"919" 751955 4429493
"920" 751948 4429646
"921" 751948 4429646
"922" 751948 4429646
"923" 751946 4429381
"924" 751948 4429646
"925" 751954 4429662
"926" 751954 4429662
"927" 751954 4431140
"928" 751952 4429935
"929" 751954 4431140
"930" 751952 4429935
"931" 751959 4430342
"932" 751948 4430709
"933" 751948 4430709
"934" 751948 4429048
"935" 751948 4429048
"936" 751948 4429048
"937" 751959 4430342
"938" 751952 4430462
"939" 751949 4430014
"940" 751956 4430024
"941" 751955 4430791
"942" 751954 4429327
"943" 751954 4429283
"944" 751960 4429641
"945" 751960 4430461
"946" 751960 4430461
"947" 751959 4430731
"948" 751960 4430461
"949" 751960 4430563
"950" 751962 4430788
"951" 751962 4430788
"952" 751968 4430750
"953" 751963 4430740
"954" 751964 4429374
"955" 751964 4429514
"956" 751976 4429214
"957" 751978 4430371
"958" 751963 4430576
"959" 751970 4430727
"960" 751970 4430727
"961" 751970 4430727
"962" 751970 4430727
"963" 751967 4429322
"964" 751967 4430748
"965" 751967 4430748
"966" 751967 4430748
"967" 751967 4430748
"968" 751967 4430748
"969" 751972 4429701
"970" 751978 4430770
"971" 751967 4430593
"972" 751972 4429701
"973" 751982 4429219
"974" 751982 4429219
"975" 751977 4429318
"976" 751977 4429318
"977" 751977 4429318
"978" 751983 4430061
"979" 751983 4430061
"980" 751972 4429320
"981" 751975 4431160
"982" 751971 4429265
"983" 751974 4429599
"984" 751979 4430459
"985" 751979 4430459
"986" 751984 4429732
"987" 751985 4429565
"988" 751978 4430725
"989" 751989 4429227
"990" 751982 4429595
"991" 751992 4430393
"992" 751989 4429227
"993" 751983 4430013
"994" 751983 4430013
"995" 751982 4429595
"996" 751989 4429227
"997" 751986 4430324
"998" 751983 4429366
"999" 751980 4430056
"1000" 751980 4430056
"1001" 751980 4430056
"1002" 751980 4430056
"1003" 751993 4430799
"1004" 751993 4430799
"1005" 751979 4431011
"1006" 751979 4431011
"1007" 751987 4429444
"1008" 751991 4429692
"1009" 751996 4430805
"1010" 752006 4431052
"1011" 751993 4430564
"1012" 751993 4430564
"1013" 751999 4430811
"1014" 751991 4430255
"1015" 751991 4430255
"1016" 751985 4429222
"1017" 751980 4429367
"1018" 751991 4430255
"1019" 751991 4429627
"1020" 751991 4429313
"1021" 751995 4429590
"1022" 751991 4429806
"1023" 751991 4429806
"1024" 751996 4430719
"1025" 751993 4430800
"1026" 751999 4430457
"1027" 751999 4430457
"1028" 751999 4430457
"1029" 751999 4430457
"1030" 751999 4430457
"1031" 751999 4430457
"1032" 751999 4430457
"1033" 752008 4430095
"1034" 752008 4430095
"1035" 751996 4429761
"1036" 752008 4430095
"1037" 752008 4430095
"1038" 752008 4430095
"1039" 752010 4429248
"1040" 752010 4429248
"1041" 752003 4429492
"1042" 752000 4430229
"1043" 752004 4429687
"1044" 752003 4430565
"1045" 752003 4430565
"1046" 752007 4430877
"1047" 752007 4431107
"1048" 752007 4430877
"1049" 752007 4430877
"1050" 752003 4430565
"1051" 751999 4430813
"1052" 752003 4430565
"1053" 751999 4430813
"1054" 752003 4430565
"1055" 752003 4430565
"1056" 752007 4430877
"1057" 752011 4429546
"1058" 752011 4429546
"1059" 752011 4429546
"1060" 752002 4429914
"1061" 752003 4430651
"1062" 752003 4430651
"1063" 752008 4430651
"1064" 752008 4430651
"1065" 752008 4430651
"1066" 752008 4430651
"1067" 752008 4430651
"1068" 752008 4430651
"1069" 752005 4430824
"1070" 752007 4429145
"1071" 752007 4429145
"1072" 752015 4430843
"1073" 752007 4429145
"1074" 752007 4429145
"1075" 752007 4429145
"1076" 752012 4430154
"1077" 752012 4430154
"1078" 752012 4430154
"1079" 752009 4430715
"1080" 752017 4429640
"1081" 752009 4429111
"1082" 752009 4429111
"1083" 752011 4429797
"1084" 752009 4429111
"1085" 752013 4430455
"1086" 752013 4430455
"1087" 752013 4430455
"1088" 752012 4430246
"1089" 752019 4429008
"1090" 752016 4429352
"1091" 752019 4429301
"1092" 752019 4429301
"1093" 752014 4429682
"1094" 752019 4430204
"1095" 752014 4429682
"1096" 752014 4429682
"1097" 752016 4429000
"1098" 752016 4429000
"1099" 752016 4429000
"1100" 752016 4429000
"1101" 752016 4429000
"1102" 752016 4429000
"1103" 752016 4429000
"1104" 752016 4429000
"1105" 752016 4429432
"1106" 752016 4429000
"1107" 752016 4429000
"1108" 752016 4429000
"1109" 752016 4429000
"1110" 752016 4429000
"1111" 752016 4429000
"1112" 752015 4430875
"1113" 752016 4430845
"1114" 752021 4429998
"1115" 752015 4430875
"1116" 752015 4430875
"1117" 752021 4429998
"1118" 752015 4430875
"1119" 752018 4429005
"1120" 752018 4429005
"1121" 752028 4430124
"1122" 752028 4430124
"1123" 752024 4429319
"1124" 752028 4430124
"1125" 752028 4430124
"1126" 752020 4429009
"1127" 752031 4429268
"1128" 752031 4429268
"1129" 752031 4429268
"1130" 752021 4429539
"1131" 752021 4429539
"1132" 752019 4429818
"1133" 752021 4429539
"1134" 752021 4429539
"1135" 752021 4429539
"1136" 752021 4429539
"1137" 752021 4429539
"1138" 752021 4429539
"1139" 752025 4430944
"1140" 752023 4429653
"1141" 752023 4429653
"1142" 752029 4429206
"1143" 752029 4430871
"1144" 752027 4429025
"1145" 752027 4429025
"1146" 752027 4429025
"1147" 752027 4429025
"1148" 752029 4430871
"1149" 752030 4430453
"1150" 752030 4430453
"1151" 752027 4429837
"1152" 752032 4429674
"1153" 752027 4429837
"1154" 752027 4429837
"1155" 752027 4429837
"1156" 752035 4429103
"1157" 752037 4429900
"1158" 752036 4429607
"1159" 752036 4429607
"1160" 752032 4429787
"1161" 752032 4429787
"1162" 752036 4429901
"1163" 752036 4430706
"1164" 752036 4430706
"1165" 752036 4430706
"1166" 752036 4430706
"1167" 752036 4430706
"1168" 752036 4429607
"1169" 752041 4430764
"1170" 752045 4430659
"1171" 752045 4430659
"1172" 752041 4430764
