"cx" "cy"
"315" 751860.1621 4429599.416
"316" 751860.986 4430821.472
"317" 751865.8516 4429683.699
"318" 751869.5617 4430684.199
"319" 751872.9424 4430995.837
"320" 751873.6854 4429315.673
"321" 751874.9224 4429170.402
"322" 751875.0041 4430559.324
"323" 751879.0446 4430470.542
"324" 751880.529 4430213.493
"325" 751881.9307 4430358.964
"326" 751882.0136 4429492.037
"327" 751883.4145 4431186.299
"328" 751889.7646 4429741.988
"329" 751895.7018 4429352.865
"330" 751896.5266 4429024.431
"331" 751901.3094 4428743.287
"332" 751903.4531 4429020.432
"333" 751905.1016 4430252.286
"334" 751907.2457 4429955.145
"335" 751908.7304 4429144.707
"336" 751911.2866 4429143.907
"337" 751912.6874 4430904.755
"338" 751914.0068 4430904.455
"339" 751915.7392 4429395.857
"340" 751917.8008 4429256.284
"341" 751918.7901 4429575.421
"342" 751919.8623 4429155.805
"343" 751924.4794 4430283.179
"344" 751925.4687 4430661.804
"345" 751926.3757 4430661.404
"346" 751926.4584 4430286.079
"347" 751928.5201 4429836.569
"348" 751929.9223 4429004.835
"349" 751937.0959 4429617.212
"350" 751937.8376 4430464.343
"351" 751938.4972 4430464.243
"352" 751940.147 4429301.176
"353" 751944.7646 4429464.643
"354" 751949.5463 4431145.007
"355" 751950.1243 4429647.007
"356" 751952.0206 4430120.112
"357" 751954.165 4429329.37
"358" 751955.0715 4430331.67
"359" 751958.4523 4430336.969
"360" 751958.9472 4430024.531
"361" 751960.432 4428986.838
"362" 751961.1732 4430731.69
"363" 751962.5751 4430563.523
"364" 751963.5648 4430144.007
"365" 751964.4714 4430984.739
"366" 751969.4199 4429205.495
"367" 751972.2236 4429014.833
"368" 751972.5532 4429452.545
"369" 751972.7999 4430605.815
"370" 751974.3671 4429702.495
"371" 751974.6975 4428720.991
"372" 751975.6862 4430172.002
"373" 751977.5832 4429339.768
"374" 751985.252 4429120.412
"375" 751986.4879 4430782.68
"376" 751992.4257 4429498.836
"377" 751995.7236 4430215.593
"378" 751996.0541 4429025.231
"379" 751997.9503 4429590.518
"380" 751999.8468 4429690.598
"381" 752000.1759 4431040.028
"382" 752001.0015 4429237.188
"383" 752001.3313 4429236.888
"384" 752004.7948 4428961.243
"385" 752008.01 4430092.917
"386" 752010.7314 4429620.612
"387" 752010.896 4430248.786
"388" 752012.4631 4429545.427
"389" 752013.2051 4429797.676
"390" 752015.5144 4428994.337
"391" 752015.9258 4430456.045
"392" 752015.9266 4429025.231
"393" 752024.6666 4430116.313
"394" 752026.3986 4429578.02
"395" 752028.0479 4429264.283
"396" 752028.5428 4429022.931
"397" 752031.3454 4430871.962
"398" 752031.5103 4430871.862
"399" 752031.6755 4430239.588
"400" 752032.7474 4430454.245
"401" 752033.9839 4431092.318
"402" 752034.2321 4429675.401
"403" 752036.4588 4429040.727
"404" 752036.4588 4429040.828
"405" 752038.0256 4428978.34
"406" 752040.2515 4429785.179
"407" 752042.89 4430142.607
"408" 752044.1266 4430648.206
"409" 752045.4459 4430567.523
"410" 752050.7241 4429187.698
"411" 752051.7136 4429200.896
"412" 752053.1978 4429289.478
"413" 752053.7746 4429895.257
"414" 752053.9399 4429290.278
"415" 752054.3522 4429338.768
"416" 752054.9293 4429416.652
"417" 752056.8254 4430299.076
"418" 752057.4847 4430926.151
"419" 752058.2267 4431129.71
"420" 752059.134 4430700.796
"421" 752062.8455 4429095.817
"422" 752063.5051 4429200.896
"423" 752067.5455 4429303.875
"424" 752068.3694 4430645.507
"425" 752070.1018 4429200.896
"426" 752072.0803 4430184.699
"427" 752072.4104 4429658.804
"428" 752073.8121 4429768.582
"429" 752074.7186 4430755.385
"430" 752077.1108 4429214.893
"431" 752083.0477 4429404.355
"432" 752085.2732 4430984.639
"433" 752086.0984 4429973.641
"434" 752086.4282 4429973.541
"435" 752087.9952 4429492.237
"436" 752088.3251 4429324.771
"437" 752091.9528 4430212.893
"438" 752092.6948 4430383.759
"439" 752092.8601 4429757.884
"440" 752099.2922 4429139.508
"441" 752100.6937 4429581.42
"442" 752102.1773 4430852.166
"443" 752107.7848 4430233.589
"444" 752109.8467 4429542.727
"445" 752111.5775 4430892.058
"446" 752112.1554 4429750.286
"447" 752114.2986 4431042.228
"448" 752115.4529 4431300.576
"449" 752116.0309 4429869.762
"450" 752116.196 4429480.34
"451" 752116.5255 4430045.727
"452" 752118.6692 4430445.347
"453" 752122.4628 4429571.921
"454" 752123.4525 4429168.302
"455" 752124.5242 4429636.109
"456" 752128.4822 4429743.787
"457" 752129.6361 4430607.015
"458" 752134.8312 4430268.982
"459" 752134.9964 4429861.963
"460" 752137.965 4429530.33
"461" 752139.6139 4430100.316
"462" 752141.3454 4430277.08
"463" 752142.0881 4429378.66
"464" 752142.9128 4429062.923
"465" 752145.3031 4430945.547
"466" 752145.5513 4429382.159
"467" 752147.7774 4429948.946
"468" 752149.2616 4429948.346
"469" 752150.4165 4429069.022
"470" 752150.6634 4429951.646
"471" 752151.7355 4429734.489
"472" 752152.8891 4431278.58
"473" 752157.8375 4429712.593
"474" 752159.0741 4430146.207
"475" 752162.4546 4430635.909
"476" 752162.5371 4430636.009
"477" 752165.4229 4431125.011
"478" 752167.1554 4429517.532
"479" 752167.5675 4429773.781
"480" 752171.8546 4431135.409
"481" 752174.7416 4429549.226
"482" 752175.4013 4429468.642
"483" 752175.8962 4429231.089
